"Artikelnummer";"Name";"Kategorie";"Beschreibung";"EK";"Lieferanten Nr.";"Geändert";"VK Verkaufspreis "
"2008";"SolarEdge Optimierer S500B-1GM4MRM 550 Watt";"";"Eigenschaften der S500B Optimierer:
- MPPT-Betriebsbereich 12,5 - 105 V
- Module bis 550 W
- 15 A max. Kurzschlussstrom
- einfache Installation dank MC4 Verbindung
- 0,1 m Eingangskabel
- 2,3 m Ausgangskabel
- SafeDC Funktion reduziert die Spannung im Störungsfall automatisch auf 1 Volt pro Modul
- einfache Montage auf Unterkonstruktion mit Hammerkopfschraube
- kompatibel mit allen SolarEdge Wechselrichtern
- min. 6 Optimierer pro Stang bei 1 phasigen Wechselrichtern
- min. 14 Optimierer pro Stang bei 3 phasigen Wechselrichtern
- min. 14 Optimierer pro Strang bei 3 phasigen Wechselrichtern und 277/480 V Netz

Leistungsverluste für einen kompletten String durch Verschattung oder verschiedene Ausrichtungen gehören mit den SolarEdge Leistungsoptimierern der Vergangenheit an. Dank des MPP-Trackings auf Modulebene wird jedes Modul einzeln gesteuert und der String kann so die maximal verfügbare Leistung erbringen. Einfache Installation und maximaler Ertrag ist mit den S500B Optimierern einfach zu realisieren.";"57";"";"27.11.25";"74.1"
"428115";"BYD LVS 4.0 kWh Pv - Speicher";"";"BYD Battery-Box Premium LVS 4.0 - 48 V Batterie


Die neue Systemgeneration baut auf den bekannten Speichern auf und verfügt über alle bisherigen Funktionen. Mit der Battery-Box Premium LVS bietet die neue Serie fast 10% mehr Kapazität bei etwas kleineren Abmessungen und eine deutliche Reduzierung des Gewichtes der BCU (Battery-Control-Unit) drücken das Gesamtgewicht. Pro Batteriemodul können jetzt 5 Sekunden 90 A geliefert werden, damit ist die neue 48 V Serie auch für Off-Grid Einsätze freigegeben. Für den gewerblichen Einsatz können bis zu 64 Batteriemodule mit einer Gesamtkapazität von 256 kWh zu einem System verschaltet werden. Für die schnelle Montage setzt auch die neue BYD-Batterie auf das bewährte Stecksystem für die einfache Montage ohne Batteriekabel. Lediglich die BCU muss mit dem Wechselrichter über ein Batteriekabel verbunden werden. Damit ist diese Batterie für den universellen Einsatz im Eigenheim und Gewerbe bestens geeignet. Dank gleichbleibender Software ist die BYD Battery-Box Premium LVS weiterhin mit Wechselrichtern von SolarEdge, SMA und GoodWe kompatibel.Produktvorteile
- Maximale Flexibilität für jede Anwendung mit bis zu 64 parallel geschalteten Modulen
- Das patentierte modulare Steckdesign erfordert keine interne Verkabelung und ermöglicht maximale Flexibilität und Benutzerfreundlichkeit
- Kobaltfreie Lithium-Eisen-Phosphat-Batterie (LFP): Maximale Sicherheit, Lebensdauer und Leistung
- Kompatibel mit führenden 1- und 3-Phasen-Wechselrichtern
- Höchste Sicherheitsstandards wie VDE 2510-50
- Leistungsstarke Not-/Ersatzstrom- und Off-Grid-Funktionalität
- Mit dem spezifischen BYD Stecker für die LVS Batterien erfolgt die Installation jetzt noch komfortabler.Produkteigenschaften BYD Battery-Box Premium LVS 4.0
- Batteriekapazität: 4,0 kWh
- Nennspannung: 51,2 V
- Max. Ausgangsstrom: 65 A
- Peak Ausgangsstrom: 90 A (5s)
- Gewicht: 64 kg
- IP-Schutzklasse: IP 55
- Abmessungen (H/W/T): 478 x 650 x 298 mm
- Zelltechnologie: Lithium-Eisen-Phosphat (LFP)";"1234";"";"27.11.25";"1604.2"
"428111";"Hardy Barth Wallbox 11 kW cPµ2 Pro, inkl. Montage und Einbau TSG";"";"Hardy Barth entwickelt und produziert spezielle Lösungen für den E-Mobility Markt. Kompakte Abmessungen und Funktionalität zeichnen die neue cPµ2 Wallbox aus.  Produktvorteile:
- Blackout-Schutz mit kompatiblem System
- PV-Steuerung mit kompatiblem System
- Dynamisches Lastmanagement
- PV Überschussladen 
- Automatische Phasenumschaltung
- Visualisierung über Weboberfläche
- Steuerung via AppProdukteigenschaften Hardy Barth cPµ2 Pro mit Ladekabel 8m glatt:
- 11 kW Ladeleistung ( 3 Phasen mit 16 A)
- MID-Zähler im Lieferumfang enthalten (extern)
- Schutzklasse: II
- Ladestecker: Typ 2
- Schnittstelle: RS485 / USB / IO-Pins / RJ45
- 8 m Ladekabel glatt
- Wandmontage
- Abmessungen: 283 x 196 x 88 mm (H/B/T)
- Farbe: anthrazit/silbergrau";"1215.44";"";"20.11.25";"1620.07"
"2049";"Longi Hochleistungsmodul LR7-54HVBB-475 W";"";"Modellbezeichnung: L-54HVBB-475M:Das Unternehmen Longi zählt zu den weltweit führenden Anbietern von Photovoltaiklösungen. Mit dem Solarmodul LR7-54HVBB bietet Longi ein leistungsstarkes Modul mit einer Nennleistung von 470 Wp. Es basiert auf der von Longi entwickelten HPBC 2.0-Technologie, die eine hohe Effizienz von über 23,8 % ermöglicht. Damit lässt sich auf gleicher Fläche mehr Strom erzeugen – ein Vorteil, der besonders bei begrenztem Platzangebot entscheidend ist. Ein besonderes Merkmal des Moduls ist sein Design: Durch die spezielle Kontaktierung sind auf der Vorderseite keine Gitterlinien sichtbar. Zusammen mit dem Full-Black-Design entsteht ein homogenes, ästhetisches Erscheinungsbild, das sich unauffällig in moderne Dacharchitekturen einfügt. Die geringe Blendwirkung macht das Modul auch für Umgebungen geeignet, in denen eine dezente Optik gewünscht ist, wie zum Beispiel bei hochwertigen Wohn- und Gewerbebauten. Das LR7-54HVBB ist mit integrierten Anti-Shading-Funktionen ausgestattet und schützt zusätzlich vor lokaler Überhitzung (Hot-Spots). Diese Eigenschaften erhöhen die Betriebssicherheit und tragen zu einer längeren Lebensdauer des Moduls bei. Darüber hinaus ist das Modul über den gesamten Lebenszyklus CO?-arm und umweltfreundlich, was seinen Einsatz in nachhaltigen Energiekonzepten unterstützt. Longi unterstreicht die Zuverlässigkeit des LR7-54HVBB mit einer 30-jährigen Garantie – ein klares Zeichen für Qualität und Langlebigkeit.
Produktvorteile:• Moderne HPBC 2.0-Zelltechnologie• Mehr Energieausbeute auf gleicher Fläche• Elegantes Full-Black-Design• Integrierte Sicherheitsfunktionen• 30 Jahre Leistungs- und Produktgarantie
Produkteigenschaften:• Nennleistung Pmax: 475 Wp• Bifazial: Ja• Rahmentyp: gerahmt• Rahmenfarbe: schwarz• Oberflächenbelastbarkeit: 5400 Pa (Schnee) / 2400 Pa (Wind)• Brandschutzklasse: IEC 61730 – Klasse C• Abmessungen: 1800 x 1134 x 30 mm (L x B x H)• Gewicht: 23,5 kg";"65.55";"";"19.11.25";"98.25"
"428114";"Cenming Flexibles Modul 520W";"Modul";"- flexibles Modul
- geringere Zelltemperatur bei Verschattung
- hocheffizient &amp; ästhetisch
- 12Jahre Produktgarantie
- 30 Jahre lineare Leistungsgarantie
- Abmessungen:  2285*1132*22mm
- +3 % positive Leistungstoleranz
- Wirkungsgrad: 20,1%";"106.2";"";"18.11.25";"143.37"
"428113";"Umverdrahtung ";"";"";"450";"";"13.11.25";"585"
"428112";"Longi Hochleistungsmodul Hi-Mo X10 Guardian Anti-Dust 650 Watt";"";"Modellbezeichnung:LR7-72HVHF 640~670M

- Zelltechnologie: Ausgestattet mit HPBC 2.0-Zellen – übernimmt das „Hocheffizienz-Gen“ der Vorgängertechnologie 
- Rahmendesign:Einzigartiges Rahmendesign reduziert effektiv die Auswirkungen von Staubablagerungen und steigert dadurch den Energieertrag über den gesamten Lebenszyklus 
- Zuverlässigkeit: Hohe Zuverlässigkeit und stabiler Betrieb selbst unter extremen Umweltbedingungen 
- Einsatzbereiche: Besonders geeignet für Dächer aus farbigem Trapezblech im Industrie- und Gewerbebereich sowie für Installationen mit geringer Neigung
- Zellorientierung : 144 Zellen (6 × 24)
- Anschlussdose (Junction Box) IP68, drei Dioden
- halbgehärtetes Glas
- Rahmen: Eloxierter Aluminiumlegierungsrahmen
- Gewicht: 28,5 kg
- Abmessungen 2382 × 1134 × 30 mm
- Maximale Moduleffizienz 24,6 %
- Leistungstoleranz: 0 ~ +3 %
- Leistungsdegradation im 1. Jahr: &lt; 1 %
- Leistungsdegradation Jahr 2–30: 0,35 % pro Jahr
- Zelltyp BC-Zelle (Back Contact)
- Ausgangskabel: (Querschnitt): 4 mm² ";"70";"";"12.11.25";"98"
"2024";"Longi Hochleistungsmodul Hi-Mo X10 Guardian Anti-Dust 650 Watt";"";"Modellbezeichnung: LR7-72HVDF 640~665M

- Zelltechnologie: Ausgestattet mit HPBC 2.0-Zellen – übernimmt das „Hocheffizienz-Gen“ der Vorgängertechnologie 
- Rahmendesign:Einzigartiges Rahmendesign reduziert effektiv die Auswirkungen von Staubablagerungen und steigert dadurch den Energieertrag über den gesamten Lebenszyklus 
- Zuverlässigkeit: Hohe Zuverlässigkeit und stabiler Betrieb selbst unter extremen Umweltbedingungen 
- Einsatzbereiche: Besonders geeignet für Dächer aus farbigem Trapezblech im Industrie- und Gewerbebereich sowie für Installationen mit geringer Neigung
- Zellorientierung : 144 Zellen (6 × 24)
- Anschlussdose (Junction Box) IP68, drei Dioden
- Glas: Doppelglas, 2,0 mm halbgehärtetes Glas
- Rahmen: Eloxierter Aluminiumlegierungsrahmen
- Gewicht: 33,5 kg
- Abmessungen 2382 × 1134 × 30 mm
- Maximale Moduleffizienz 24,6 %
- Leistungstoleranz: 0 ~ +3 %
- Leistungsdegradation im 1. Jahr: &lt; 1 %
- Leistungsdegradation Jahr 2–30: 0,35 % pro Jahr
- Zelltyp BC-Zelle (Back Contact)
- Ausgangskabel: (Querschnitt): 4 mm² ";"70";"";"12.11.25";"104.78"
"428110";"Hager KU83CHE BKE-AZ 3-phasig";"";"";"0";"";"12.11.25";"180"
"428109";"Solarfabrik Mono S4 Halfcut";"";"Deutsche Garantie

30 Jahre Garantie auf das Produkt und 30 Jahre auf die Modulleistung

Hagelschutzklasse 4

Resistent gegen Eiskugeln mit max. 40 mm Ø und einer Geschwindigkeit von 29,2 m/s

Feuerschutzklasse A

Bestmo?gliche Feuerschutzzertifizierung fu?r Solarmodule mit deutschem TU?V-Zertifikat

Fla?chennutzungsgrad

228 W/m2 bei 455 W. Top Vergleichbarkeit durch Watt-Leistung pro Quadratmeter

White Mesh

Transparentes Doppelglas-Solarmodul mit einem weißen Print zwischen den Zellen

Bifaziale Zelle

Transparente Zelle mit zusa?tzlicher Energie- gewinnung an der Zellru?ckseite

N-Type-Technologie

TopCon-Solarmodul mit der N-Type-Technologie fu?r Spitzenleistungen

Halbzellen-Modul

Zweigeteilte Zelle fu?r mehr Effizienz, mehr Sicherheit und mehr Zuverla?ssigkeit

Schwachlichtverhalten

Hervorragende Leistungen auch unter schwachen Lichtverha?ltnissen

Glasabdeckung

Ammoniak- &amp; Salznebelbesta?ndigkeit Hochtransparent &amp; selbstreinigend";"60";"";"12.11.25";"78"
"428108";"TP-Link TL-PA7019P KIT AV1000 ";"";"";"39.49";"";"12.11.25";"51.34"
"2004";"Trapez DC-Montage pro Modul";"";"- Montage der Module bis zum Speicher mit integrierten bzw.externen Wechselrichter inkl. Verkabelung aller Module
- Vertragsbestandteil der DC Kabelführung ist der kürzeste Weg (PV- Module zu Wechselrichter) Änderungen sind aufpreispflichtig";"48.5";"";"10.11.25";"58.5"
"1567";"Thermodach Montage Mehrkosten pro Haken/Blechziegel/AlphaPlatte";"";"- Spezialkonstruktion für die Montage auf Thermodächern";"55";"";"10.11.25";"59.5"
